,OS: Windows 11 | Browser: Chrome 142 | Resolution: 1536x816 | Time: 13 Nov 2025 / 14:53:27  GMT-6

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website","https://testing.geekqa.net/public_html/public/index.php/SignUp","","",""
"40","Click on ""Login""","","","//a[normalize-space()='Login']","body > header:nth-child(1) > nav:nth-child(1) > div:nth-child(3) > ul:nth-child(1) > li:nth-child(5) > a:nth-child(1)"
"41","Enter ""87106140"" into ""Phone Number""","87106140","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(4) > input:nth-child(1)"
"42","Enter ""ricarcharpentierq@gmail.com"" into ""Email""","ricarcharpentierq@gmail.com","","//input[@name='newemail']","input[placeholder='Email'][name='newemail']"
"43","Enter ""ricardo"" into ""First Name""","ricardo","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(7) > input:nth-child(1)"
"44","Enter ""charpentier"" into ""Last Name""","charpentier","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(8) > input:nth-child(1)"
"45","Enter ""richi1109"" into ""Username""","richi1109","","//input[@placeholder='Username']","input[placeholder='Username']"
"46","Scroll down","","","//input[@placeholder='Username']","input[placeholder='Username']"
"47","Enter ""******"" into ""Password""","******","","//form[@action='https://testing.geekqa.net/public_html/public/index.php/customer']//input[@placeholder='Password']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(9) > input:nth-child(1)"
"48","Enter ""******"" into ""Confirm Password""","******","","//input[@placeholder='Confirm Password']","input[placeholder='Confirm Password']"
"49","Click on ""Sign Up""","","","//button[normalize-space()='Sign Up']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > button:nth-child(12)"
"50","Scroll down","","","",""
"51","Enter ""Richi1109"" into ""Username""","Richi1109","","//input[@placeholder='Username']","input[placeholder='Username']"
"52","Enter ""ricarcharpentierq@gmail.com"" into ""Email""","ricarcharpentierq@gmail.com","","//input[@id='email']","#email"
"53","Enter ""******"" into ""Password""","******","","//input[@id='password']","#password"
"54","Click on ""Login""","","","//button[normalize-space()='Login']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(2) > form:nth-child(1) > button:nth-child(6)"
"55","Scroll down","","","",""
"56","Scroll up","","","",""
"57","Scroll down","","","",""
"58","Scroll up","","","",""
"59","Click on ""Home""","","","//a[normalize-space()='Home']","body > header:nth-child(1) > nav:nth-child(1) > div:nth-child(3) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1)"
"60","Click on ""Cart ( 1 )""","","","//a[@href='https://testing.geekqa.net/public_html/public/index.php/cart']","body > header:nth-child(1) > nav:nth-child(1) > div:nth-child(3) > ul:nth-child(1) > li:nth-child(3) > a:nth-child(1)"
"61","Click on ""remove icon""","","","//a","a"
"62","Scroll down","","","",""
"63","Scroll up","","","",""
"64","Click on ""seach_result""","","","//div[@class='col-lg-9 col-md-9']//ul[@id='seach_result']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > ul:nth-child(1)"
"65","Click on ""seach_result""","","","//div[@class='col-lg-9 col-md-9']//ul[@id='seach_result']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > ul:nth-child(1)"
"66","Click on ""Phones""","","","//h5[normalize-space()='Phones']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"67","Scroll down","","","//h5[contains(text(),'Phones')]","h5"
"68","Click on ""Add to Cart""","","","//div[@class='row popular-item-list']//div[1]//div[1]//a[1]//div[1]","body > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > a:nth-child(2) > div:nth-child(4)"
"69","Click on ""Add to cart""","","","//button[@id='addtocart-submit']","#addtocart-submit"
"70","Scroll up","","","//button[contains(text(),'Add to cart')]","button[id='addtocart-submit']"
"71","Scroll down","","","",""
"72","Click on ""Computers""","","","//h5[normalize-space()='Computers']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"73","Click on ""seach_result""","","","//div[@class='col-lg-9 col-md-9']//ul[@id='seach_result']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > ul:nth-child(1)"
"74","Click on ""Phones""","","","//h5[normalize-space()='Phones']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"75","Click on ""Cameras""","","","//div[@id='cat_3']//h5[contains(text(),'Cameras')]","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"76","Click on ""Digital Downloads""","","","//h5[normalize-space()='Digital Downloads']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > div:nth-child(1) > h5:nth-child(2)"
"77","Click on ""›""","","","//button[@class='owl-next']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2)"
"78","Click on ""›""","","","//button[@class='owl-next']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2)"
"79","Double click on ""›""","","","//button[@class='owl-next']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2)"
"80","Click on ""›""","","","//button[@class='owl-next disabled']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2)"
"81","Click on ""›""","","","//button[@class='owl-next disabled']","body > div:nth-child(2) > section:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2)"
"82","Scroll up","","","//button[contains(text(),'›')]","button[role='presentation']"
"83","Scroll down","","","",""
"84","Scroll up","","","",""
"85","Click on ""Login""","","","//i[@class='fa-solid fa-user']",".fa-solid.fa-user"
